"001CH","Chesire ","Reino Unido ",+003.30,+004.69,"Porción (250 g) ","Vaca Curado ","Smith Farmer","101 "
"002CO","Cotswold","Reino Unido ",+003.47,+004.98,"Porción (250 g) ","Vaca Curado ","Old Hill","101 "
"003CL","Crumbly Lancanshire ","Reino Unido ",+003.93,+005.59,"Porción (250 g) ","Vaca Semicurado ","The Farmhouse ","101 "
"004DG","Double Gloucester ","Reino Unido ",+003.48,+004.98,"Porción (250 g) ","Vaca Curado ","Mr. Cooper","101 "
"005HU","Huntsman","Reino Unido ",+004.83,+006.84,"Porción (250 g) ","Vaca Pasta veteada","Thoncheese","101 "
"006MB","Mature Blue Stilton ","Reino Unido ",+005.08,+007.13,"Porción (250 g) ","Vaca Pasta veteada","Blue Cow","101 "
"007RL","Red Leicester ","Reino Unido ",+004.18,+006.23,"Porción (250 g) ","Vaca Semicurado ","The Red Farm","101 "
"008MC","Mature Cheddar","Reino Unido ",+004.15,+006.23,"Porción (250 g) ","Vaca Curado ","Yellowcheese","101 "
"009SD","Sage Derby","Reino Unido ",+004.31,+006.23,"Porción (250 g) ","Vaca Semicurado ","Derby House ","101 "
"010WS","White Stilton ","Reino Unido ",+005.07,+007.48,"Porción (250 g) ","Vaca Tierno ","Blue Cow","101 "
"011CH","Chevagne","Bélgica ",+005.45,+007.81,"Porción (250 g) ","Cabra Tierno","Frocheg ","102 "
"012CH","Chevrelait","Bélgica ",+002.82,+004.06,"Porción (250 g) ","Cabra Tierno","ChevreFerme ","102 "
"013CT","Chimay Trappiste with Beer","Bélgica ",+005.29,+007.81,"Porción (250 g) ","Vaca Semicurado ","Trachilait","102 "
"014PA","Passendale","Bélgica ",+005.30,+007.48,"Porción (250 g) ","Vaca Semicurado ","Lessande","102 "
"015PJ","Pere Joseph ","Bélgica ",+004.85,+006.84,"Porción (250 g) ","Vaca Semicurado ","Monsieur Joseph ","102 "
"016PO","Postel","Bélgica ",+005.25,+007.81,"Porción (250 g) ","Vaca Curado ","Vachestel ","102 "
"017WY","Wynendale ","Bélgica ",+007.01,+009.98,"Porción (250 g) ","Vaca Semicurado ","Flosary ","102 "
"018AB","Abondance ","Francia ",+006.36,+009.35,"Porción (250 g) ","Vaca Semicurado ","Seblochan ","103 "
"019BA","Banon ","Francia ",+002.21,+003.10,"Porción (250 g) ","Cabra Semicurado","Ferail","103 "
"020BA","Bleu d'Auvergne ","Francia ",+003.26,+004.73,"Porción (250 g) ","Vaca Pasta veteada","La Vache Blue ","103 "
"021BS","Brillant Savarin","Francia ",+006.98,+009.98,"Porción (250 g) ","Vaca Semicurado ","Ferme Pierre","103 "
"022CA","Camembert ","Francia ",+003.78,+005.56,"Porción (250 g) ","Vaca Pasta blanda ","Le Caprice","103 "
"023CH","Chaource","Francia ",+006.04,+008.90,"Porción (250 g) ","Vaca Pasta blanda ","Chaoulait ","103 "
"024CH","Chèvre","Francia ",+004.96,+007.28,"Porción (250 g) ","Cabra Tierno","Terdeloup ","103 "
"025CO","Coulommiers ","Francia ",+003.41,+005.10,"Porción (250 g) ","Vaca Pasta blanda ","Les Coulotances ","103 "
"026DM","Doux de Montagne","Francia ",+005.13,+007.48,"Porción (250 g) ","Vaca Curado ","Fleurmontagne ","103 "
"027FM","Fleur de Marquis","Francia ",+008.90,+012.48,"Porción (250 g) ","Oveja Curado","Le Marquis","103 "
"028FB","French Brie ","Francia ",+002.94,+004.38,"Porción (250 g) ","Vaca Pasta blanda ","Vachebrie ","104 "
"029GC","Gruyère de Comté","Francia ",+003.49,+004.98,"Porción (250 g) ","Vaca Semicurado ","Le Fromagru ","104 "
"030MI","Mimolette ","Francia ",+003.93,+005.73,"Porción (250 g) ","Vaca Semicurado ","Mimoferme ","104 "
"031MO","Morbier ","Francia ",+003.32,+004.98,"Porción (250 g) ","Vaca Semicurado ","Le Morfont","104 "
"032PA","Pavé d'Affinois ","Francia ",+006.89,+010.05,"Porción (250 g) ","Vaca Pasta blanda ","Le Pavé Box ","104 "
"033PE","Pont L'Evèque ","Francia ",+005.29,+007.90,"Porción (250 g) ","Vaca Pasta blanda ","Le Pont Equisite","104 "
"034RA","Raclette","Francia ",+003.92,+005.59,"Porción (250 g) ","Vaca Semicurado ","Old Waloon","104 "
"035RE","Reblochon ","Francia ",+006.22,+008.73,"Porción (250 g) ","Vaca Pasta blanda ","Rochance","104 "
"036RB","RocheBaron Creamy Blue","Francia ",+005.40,+007.84,"Porción (250 g) ","Vaca Pasta veteada","Le Baron du Lait","104 "
"037RO","Roquefort ","Francia ",+006.52,+009.59,"Porción (250 g) ","Oveja Pasta veteada ","Delicatessen","104 "
"038SO","Somport ","Francia ",+005.33,+007.48,"Porción (250 g) ","Vaca Curado ","Somvache","104 "
"039TS","Tomme de Savoie ","Francia ",+004.84,+007.00,"Porción (250 g) ","Vaca Semicurado ","Ferme du Savoie ","104 "
"040ED","Edam","Holanda ",+002.57,+003.73,"Porción (250 g) ","Vaca Semicurado ","Wenhlecate","105 "
"041EG","Extra Aged Gouda","Holanda ",+004.60,+006.84,"Porción (250 g) ","Vaca Añejo","Wenhlegod Aged","105 "
"042GO","Gouda ","Holanda ",+002.79,+004.06,"Porción (250 g) ","Vaca Semicurado ","Wenhlegod ","105 "
"043GG","Goat Gouda","Holanda ",+004.19,+006.23,"Porción (250 g) ","Cabra Tierno","Wenhlegod Goat","105 "
"044LE","Leyden","Holanda ",+001.72,+002.50,"Porción (250 g) ","Vaca Curado ","Leydaar ","105 "
"045MA","Maasdam ","Holanda ",+002.61,+003.73,"Porción (250 g) ","Vaca Semicurado ","Maarderrner ","105 "
"046OA","Old Amsterdam ","Holanda ",+005.28,+007.48,"Porción (250 g) ","Vaca Curado ","Old Ferme ","105 "
"047SG","Smoked Gouda","Holanda ",+002.18,+003.10,"Porción (250 g) ","Vaca Semicurado ","Reblagou","105 "
"048AS","Asiago","Italia",+003.49,+004.98,"Porción (250 g) ","Vaca Curado ","Picoletto ","106 "
"049BO","Boschetto ","Italia",+007.00,+010.23,"Porción (250 g) ","Mixto Tierno","Divino","106 "
"050BR","Bra ","Italia",+004.22,+006.23,"Porción (250 g) ","Vaca Curado ","Latteco ","106 "
