"101 ","The Farmhouse Company ","Richard Addams","122 Brackenbury Rd.,London SW3","76589900 ",60,,,"Global "
"102 ","Cooperative de Produits Laitiers","Jean François Duval ","34 Rue de Raspail , Brussels, Belgium ","90090011 ",60,,,"Global "
"103 ","Compagnie Laitier ","Florence Deveroix ","96 Rue Vauvilliers  , 75003 Paris, France ","79034678 ",60,,,"Global "
"104 ","Compagnie du Fromage","Jacques Decruel ","15 Boulevard Bonne Nouvelle , 76003 Paris, France ","56341390 ",90,,,"Global "
"105 ","The Holland House ","Mark Vanderlok","Leidsekade 97 1017 PN Amsterdam, Holland","45562389 ",60,,,"Global "
"106 ","Cooperativa Agricola il Poggiolo","Andrea Cavaglieri ","SS 503 Km. 23- Fraz. Rossoio 20 - 50042 -Italia ","7893467",90,,,"Global "
"107 ","Cooperativa del Queso del Norte ","Maria Gutierrez ","Biarritz, 45, Madrid 28010, España","915566778",60,,,"Global "
"108 ","La Meseta, S.A. ","Pedro Salvador","Principe de Vergara, 22, Madrid 28010, España ","914555909",60,,,"Global "
"109 ","Laerdale Company","John Hughes ","Vesterbro 21, 1900 Aalborg Denmark","34347899 ",60,,,"Regional "
"110 ","Olofberg Cheese Association ","Jean Anderlind","MariaGränd 357 Slussen Stockholm Sweden ","23490900 ",90,,,"Global "
"111 ","Produits Naturels de Suisse ","Marcus Di Miele ","Höheweg 211 CH-3800 Interlaken,Switzerland","29000112 ",60,,,"Global "
"112 ","Old Farm Inc. ","James Sand","122Griffin Rd  Fort Lauderdale, FL 33041, USA ","4569000",90,,,"Global "
"113 ","The Irish Cheese Company","Patrick McCain","23 Commerce Street ,Dublin, Ireland ","5678923",60,,,"Global "
"114 ","Bavarese Inc. ","Regina Behrens","Maximilianstrasse 69, Frankfurt, Germany","56723411 ",90,,,"Local"
"115 ","Australian Cow Company","Ingrid White","15 Grand Bridge Queen Elizabeth NSW Australia ","4561100",90,,,"Global "
"201 ","Casale di la Mama ","Fabrizio Baciucconi ","Via Fabio Filzi 25-A Milano, Italia ","3457632",90,,,"Global "
"202 ","Cooperativa de Repostería Tradicional ","Begoña Iribarren","Goya, 3 Bilbao , España ","959047888",60,,,"Global "
"203 ","Heritiers La Mere Marie ","Catherine Gaulle","119 Rue Volney , 75498 Paris, France","76760987 ",60,,,"Global "
"204 ","The Biscuits Company","Mary Brown","2 Winchester Road ,London SW3 ","56982392 ",60,,,"Global "
"301 ","Bodegas Hermanos Alvarez","Pilar Espuña","Albacete, 1, Valencia , España","969048832",60,,,"Global "
"302 ","Cooperativa del Alto Rioja","Paloma Martínez ","Av. Recinto Ferial Juan Carlos I, Madrid 28010, España","912349856",90,,,"Global "
"303 ","Bodegas Herederos de Don Emilio ","Jaime Serra ","Pza. de Las Cortes, 7, Madrid 28011, España ","912349643",90,,,"Global "
