"Survived","Pclass","Sex","SibSp","Parch","Embarked","FSize","AgeFactor","FareFactor"
"0","3","male","1","0","S","2","Young","Cheap"
"1","1","female","1","0","C","2","Adult","Expensive"
"1","3","female","0","0","S","1","Adult","Cheap"
"1","1","female","1","0","S","2","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","Q","1","Young","Cheap"
"0","1","male","0","0","S","1","Elder","Expensive"
"0","3","male","3","1","S","5","Baby","Medium"
"1","3","female","0","2","S","3","Adult","Cheap"
"1","2","female","1","0","C","2","Kid","Expensive"
"1","3","female","1","1","S","3","Baby","Medium"
"1","1","female","0","0","S","1","Elder","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","1","5","S","7","Adult","Expensive"
"0","3","female","0","0","S","1","Kid","Cheap"
"1","2","female","0","0","S","1","Elder","Medium"
"0","3","male","4","1","Q","6","Baby","Medium"
"1","2","male","0","0","S","1","Adult","Medium"
"0","3","female","1","0","S","2","Adult","Medium"
"1","3","female","0","0","C","1","Adult","Cheap"
"0","2","male","0","0","S","1","Adult","Medium"
"1","2","male","0","0","S","1","Adult","Medium"
"1","3","female","0","0","Q","1","Young","Cheap"
"1","1","male","0","0","S","1","Adult","Expensive"
"0","3","female","3","1","S","5","Kid","Medium"
"1","3","female","1","5","S","7","Adult","Expensive"
"0","3","male","0","0","C","1","Adult","Cheap"
"0","1","male","3","2","S","6","Young","Ridiciulous"
"1","3","female","0","0","Q","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","1","male","0","0","C","1","Adult","Medium"
"1","1","female","1","0","C","2","Young","Ridiciulous"
"1","3","female","0","0","Q","1","Young","Cheap"
"0","2","male","0","0","S","1","Elder","Cheap"
"0","1","male","1","0","C","2","Adult","Expensive"
"0","1","male","1","0","S","2","Adult","Expensive"
"1","3","male","0","0","C","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","female","2","0","S","3","Young","Medium"
"1","3","female","1","0","C","2","Kid","Cheap"
"0","3","female","1","0","S","2","Adult","Cheap"
"0","2","female","1","0","S","2","Adult","Medium"
"0","3","male","0","0","C","1","Adult","Cheap"
"1","2","female","1","2","C","4","Baby","Expensive"
"1","3","female","0","0","Q","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","1","0","Q","2","Adult","Medium"
"1","3","female","0","0","Q","1","Young","Cheap"
"0","3","male","2","0","C","3","Young","Medium"
"0","3","female","1","0","S","2","Young","Medium"
"0","3","male","4","1","S","6","Kid","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"1","1","female","1","0","C","2","Adult","Expensive"
"1","2","female","1","0","S","2","Adult","Medium"
"0","1","male","0","1","C","2","Elder","Expensive"
"1","1","male","0","0","S","1","Adult","Expensive"
"1","2","female","0","0","S","1","Young","Cheap"
"0","3","male","0","0","C","1","Adult","Cheap"
"1","2","female","1","2","S","4","Kid","Medium"
"0","3","male","5","2","S","8","Kid","Expensive"
"0","3","male","0","0","C","1","Young","Cheap"
